workload_id,budget_mib,policy,selected_gpu_layers,selection_status,oracle_gpu_layers,observed_budget_violation,regret_pct,measured_generation_ms,measured_peak_mib,outcome,guard,scope
B3_S256_N32,768,compute_transfer,12,predicted_feasible,12,False,0.0,321.334485,619.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S256_N32,1024,max_gpu,12,predicted_feasible,12,False,0.0,321.334485,619.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S256_N32,1024,compute,12,predicted_feasible,12,False,0.0,321.334485,619.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S256_N32,1024,compute_transfer,12,predicted_feasible,12,False,0.0,321.334485,619.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,256,max_gpu,0,predicted_feasible,0,False,0.0,1997.1184575,0.0,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,256,compute,0,predicted_feasible,0,False,0.0,1997.1184575,0.0,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,256,compute_transfer,0,predicted_feasible,0,False,0.0,1997.1184575,0.0,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,320,max_gpu,3,predicted_feasible,3,False,0.0,1314.0105825,258.93408203125,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,320,compute,3,predicted_feasible,3,False,0.0,1314.0105825,258.93408203125,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,320,compute_transfer,3,predicted_feasible,3,False,0.0,1314.0105825,258.93408203125,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,384,max_gpu,3,predicted_feasible,6,False,35.19833487696984,1314.0105825,258.93408203125,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,384,compute,3,predicted_feasible,6,False,35.19833487696984,1314.0105825,258.93408203125,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,384,compute_transfer,3,predicted_feasible,6,False,35.19833487696984,1314.0105825,258.93408203125,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,448,max_gpu,6,predicted_feasible,9,False,47.478560081545204,971.9132885,350.07763671875,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,448,compute,6,predicted_feasible,9,False,47.478560081545204,971.9132885,350.07763671875,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,448,compute_transfer,6,predicted_feasible,9,False,47.478560081545204,971.9132885,350.07763671875,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,512,max_gpu,9,predicted_feasible,9,False,0.0,659.0200555,444.15869140625,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,512,compute,9,predicted_feasible,9,False,0.0,659.0200555,444.15869140625,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,512,compute_transfer,9,predicted_feasible,9,False,0.0,659.0200555,444.15869140625,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,640,max_gpu,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,640,compute,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,640,compute_transfer,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,768,max_gpu,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,768,compute,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,768,compute_transfer,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,1024,max_gpu,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,1024,compute,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
B3_S64_N32,1024,compute_transfer,12,predicted_feasible,12,False,0.0,275.761094,538.23974609375,feasible,original_5_percent_plus_16_MiB,exploratory counterfactual; not deployed or tuned
